scheme,scheme_desc,model,repeat,split,n,MAE,RMSE,R
S1_FT,FT baseline,MLP,1,train,38435,18.961415569894225,27.917929669791885,0.6748683373018645
S1_FT,FT baseline,MLP,1,val,4821,18.719733397858292,27.88519507369386,0.4520711234861976
S1_FT,FT baseline,MLP,1,test,3944,21.568049128350573,31.326080858009828,0.5359998178442401
S1_FT,FT baseline,TabTransformer,1,train,38435,18.880459169530738,27.7218623431528,0.6757389928151463
S1_FT,FT baseline,TabTransformer,1,val,4821,18.440577226712776,27.42205741237318,0.47138716588790097
S1_FT,FT baseline,TabTransformer,1,test,3944,21.24850918385852,30.85705779188182,0.5529791351545048
S1_FT,FT baseline,MLP,2,train,38435,18.591162800401182,27.286702268675718,0.6881905554039881
S1_FT,FT baseline,MLP,2,val,4821,18.68474757248523,27.590747739826465,0.4666350864649805
S1_FT,FT baseline,MLP,2,test,3944,21.771935748521987,31.186226814437333,0.5487019616867536
S1_FT,FT baseline,TabTransformer,2,train,38435,18.847652000231474,27.63634091088082,0.6783512840518211
S1_FT,FT baseline,TabTransformer,2,val,4821,19.11959720533237,28.056314495100285,0.4513558381611002
S1_FT,FT baseline,TabTransformer,2,test,3944,21.766771051753125,31.17260998690918,0.5451226031616083
S1_FT,FT baseline,MLP,3,train,38435,18.20279508190346,26.817112959792645,0.6984284081527546
S1_FT,FT baseline,MLP,3,val,4821,18.365179229638212,27.5566832404156,0.46804124965901556
S1_FT,FT baseline,MLP,3,test,3944,21.442885623984115,30.849304133508728,0.5631024399002049
S1_FT,FT baseline,TabTransformer,3,train,38435,19.14996627662091,28.003647758423043,0.6653039429721458
S1_FT,FT baseline,TabTransformer,3,val,4821,18.838904109987276,27.750711711454727,0.45048409552330543
S1_FT,FT baseline,TabTransformer,3,test,3944,22.012371985230438,31.898996652488574,0.517146545009355
S2_IGBP_DOM,dominant IGBP class,MLP,1,train,38435,20.14543980790996,29.175982297021765,0.6361814838661514
S2_IGBP_DOM,dominant IGBP class,MLP,1,val,4821,19.472942195228462,28.3822689109096,0.4204002307658832
S2_IGBP_DOM,dominant IGBP class,MLP,1,test,3944,22.325790319433075,31.417356934477045,0.5218112811516163
S2_IGBP_DOM,dominant IGBP class,TabTransformer,1,train,38435,20.43467828897129,29.528312725483424,0.6272411993791535
S2_IGBP_DOM,dominant IGBP class,TabTransformer,1,val,4821,19.555767798765,28.716535526948295,0.41937136145532133
S2_IGBP_DOM,dominant IGBP class,TabTransformer,1,test,3944,21.651992235174042,30.384869857853655,0.5572582955601537
S2_IGBP_DOM,dominant IGBP class,MLP,2,train,38435,20.087145568168534,28.9079247695401,0.6346541776369554
S2_IGBP_DOM,dominant IGBP class,MLP,2,val,4821,19.6758037817179,28.66011403028862,0.4102117784878486
S2_IGBP_DOM,dominant IGBP class,MLP,2,test,3944,22.544763648485798,31.20740626624286,0.5380775266299626
S2_IGBP_DOM,dominant IGBP class,TabTransformer,2,train,38435,20.384861988752704,29.189435020153294,0.6251606729145927
S2_IGBP_DOM,dominant IGBP class,TabTransformer,2,val,4821,19.50813407280761,28.619458740478475,0.4034118198651186
S2_IGBP_DOM,dominant IGBP class,TabTransformer,2,test,3944,22.294905005072,30.932730865135987,0.5467358671448028
S2_IGBP_DOM,dominant IGBP class,MLP,3,train,38435,20.125010783225395,28.80801649828495,0.635032436913947
S2_IGBP_DOM,dominant IGBP class,MLP,3,val,4821,19.686074092511294,29.033136252194563,0.40343736532074237
S2_IGBP_DOM,dominant IGBP class,MLP,3,test,3944,22.846692032311076,31.980321583489577,0.5170679084787793
S2_IGBP_DOM,dominant IGBP class,TabTransformer,3,train,38435,19.88890031392388,28.667473523644844,0.642447630157803
S2_IGBP_DOM,dominant IGBP class,TabTransformer,3,val,4821,19.431446873432026,28.368077157717465,0.4205713926044941
S2_IGBP_DOM,dominant IGBP class,TabTransformer,3,test,3944,22.48700555608916,31.315314598777356,0.5395941029319536
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,MLP,1,train,38836,19.9871261692192,28.812103489458437,0.637856133590947
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,MLP,1,val,4831,19.61352021184379,28.55417585749484,0.4263644040223248
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,MLP,1,test,3524,23.068982033670018,32.117268791764666,0.5100668776180494
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,TabTransformer,1,train,38836,20.050094157902436,29.132343115174514,0.634161025811974
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,TabTransformer,1,val,4831,19.33178083616812,28.740416439531614,0.4135544012732781
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,TabTransformer,1,test,3524,23.03259333227333,32.16517379816577,0.5001539009608023
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,MLP,2,train,38836,20.35232534421707,29.215632128634844,0.6262791259767257
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,MLP,2,val,4831,19.466944206725785,28.35672500283644,0.4231524665127809
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,MLP,2,test,3524,23.119010520712067,31.91468311219149,0.5099497004585035
