index,scheme,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std
0,S1_FT,MLP,test,21.594290166952224,0.16608714638637012,31.12053726865196,0.24508233019868347,0.5492680731437328,0.013560176702882981
1,S1_FT,MLP,train,18.585124484066288,0.3793462892239179,27.340581632753416,0.552382654197658,0.6871624336195357,0.011813636630076774
2,S1_FT,MLP,val,18.589886733327244,0.19538704832940168,27.67754201797864,0.18063759628307943,0.4622491532033979,0.008842428423528458
3,S1_FT,TabTransformer,test,21.67588407361403,0.3899575963183464,31.309554810426523,0.5342981946692047,0.5384160944418227,0.01883418629869612
4,S1_FT,TabTransformer,train,18.959359148794373,0.16588365040915976,27.78728367081889,0.19219402344518102,0.6731314066130377,0.0069034706245059
5,S1_FT,TabTransformer,val,18.79969284734414,0.3412040081530253,27.743027872976068,0.3171983492669823,0.4577423665241022,0.011824778901331743
6,S2_IGBP_DOM,MLP,test,22.57241533340998,0.2615494415577459,31.53502826140316,0.39966789687697374,0.5256522387534527,0.011018880623228517
7,S2_IGBP_DOM,MLP,train,20.11919871976796,0.029578533736183726,28.963974521615608,0.1902784493598785,0.6352893661390179,0.0007954090453703188
8,S2_IGBP_DOM,MLP,val,19.61160668981922,0.12019671944787379,28.691839731130926,0.32659143292237713,0.41134979152482476,0.008538501407257223
9,S2_IGBP_DOM,TabTransformer,test,22.144634265445067,0.43731885726257125,30.877638440589,0.4676625229906638,0.5478627552123033,0.008885850147231047
10,S2_IGBP_DOM,TabTransformer,train,20.236146863882624,0.30175410649327555,29.12840708976052,0.43365232510795815,0.631616500817183,0.009437540446926011
11,S2_IGBP_DOM,TabTransformer,val,19.49844958166821,0.06272372075525705,28.56802380838141,0.17983318089725392,0.4144515246416447,0.009579474403869234
12,S3_IGBP_DOM_FE,MLP,test,22.908838177106166,0.32167728931345235,31.79620203733911,0.3939060294781513,0.5171952487018902,0.01244831716501927
13,S3_IGBP_DOM_FE,MLP,train,20.1316865076119,0.19412254576035348,28.994148981112588,0.20463464316720464,0.6325651033571164,0.005852282989848496
14,S3_IGBP_DOM_FE,MLP,val,19.511113905441125,0.08896492665811609,28.60264421606672,0.27339484601032876,0.42189315040731956,0.005216196663484828
15,S3_IGBP_DOM_FE,TabTransformer,test,22.728238776467126,0.7955111921884954,31.70004218390062,1.027521445596274,0.5140365658641223,0.03979809332412782
16,S3_IGBP_DOM_FE,TabTransformer,train,20.340182681317703,0.5641869529055478,29.37056722642971,0.4922956155544737,0.626035041960101,0.020240658631281452
17,S3_IGBP_DOM_FE,TabTransformer,val,19.58689559400102,0.5561658615570222,28.701617032862007,0.4062830444649381,0.41383368169625134,0.027330799604319916
18,S4_IGBP_DOM_FE_W,MLP,test,22.552144044373822,0.5678850987208484,31.169240603603523,0.7324079761485344,0.5401287924958093,0.028754155999995656
19,S4_IGBP_DOM_FE_W,MLP,train,20.16744115028117,0.13503299825019152,28.93428362976607,0.18658607907176536,0.6309084422015275,0.0037394061442167816
20,S4_IGBP_DOM_FE_W,MLP,val,19.41851479484207,0.13873279332770996,28.344455841277682,0.07160658686694127,0.42959422707049555,0.006310602987614116
21,S4_IGBP_DOM_FE_W,TabTransformer,test,23.16056719188928,0.772265254929497,32.447665777508654,1.0501963382822277,0.49257717891843095,0.03794253280707671
22,S4_IGBP_DOM_FE_W,TabTransformer,train,20.331744513143885,0.1720384697995357,29.190398620427846,0.28031937434472165,0.6256330187310503,0.006039409644031965
23,S4_IGBP_DOM_FE_W,TabTransformer,val,19.53466323505629,0.17650127394936183,28.599138273001774,0.16995347661807908,0.4188251711106168,0.0077488389517676405
24,S5_LC_DOM_FE_W,MLP,test,20.771603273732826,0.3074131924819688,29.433183473216786,0.3963804887910898,0.5892626175854061,0.017184937425855185
25,S5_LC_DOM_FE_W,MLP,train,19.84531791634781,0.6002839911088117,28.767525967435592,0.6333444793024657,0.6495696382597334,0.02132713111215618
26,S5_LC_DOM_FE_W,MLP,val,19.68854561569466,0.5945749969907598,28.257367517808547,0.7483660204439364,0.43998910348505066,0.03869477220831367
27,S5_LC_DOM_FE_W,TabTransformer,test,21.090686872813084,0.37488037769507215,29.982330262057243,0.38166854713115334,0.5705563100816867,0.013304868556739116
28,S5_LC_DOM_FE_W,TabTransformer,train,20.13278235548218,0.2565258285028977,29.02595447467196,0.3631722637685178,0.6365537077413673,0.007889862349400357
29,S5_LC_DOM_FE_W,TabTransformer,val,19.666296703146344,0.26020346091657054,28.286429601020192,0.27927170371692867,0.43063343085837635,0.013677526688406005
30,S6_LC_DOM_FE_W_CONS,MLP,test,19.08442479754895,0.27522682286627903,26.460129128169537,0.21068263625650546,0.6912947106766657,0.009270346206182063
31,S6_LC_DOM_FE_W_CONS,MLP,train,20.04763969355309,0.39057779547052346,28.80165791789955,0.4895680957516377,0.6508698517495227,0.012708203395918577
32,S6_LC_DOM_FE_W_CONS,MLP,val,20.645920161711864,0.13959817578783215,28.84554931914633,0.2526991035435089,0.6362264810345576,0.007467829357714168
33,S6_LC_DOM_FE_W_CONS,TabTransformer,test,19.56602317100842,0.2693869447609094,27.04432263992446,0.22801910844576131,0.6815324477162261,0.009729806490229455
34,S6_LC_DOM_FE_W_CONS,TabTransformer,train,20.90116127595894,0.1345805147509401,29.779249939772953,0.14280297384776708,0.622702435895898,0.004898577538512297
35,S6_LC_DOM_FE_W_CONS,TabTransformer,val,20.707749911755116,0.045915223768143866,29.061109982108377,0.11981765858984435,0.6295485049530113,0.0032614720187890893
36,S7_LC_DOM_FE_W_CONS_NV,MLP,test,20.299715166076464,0.05708799602333501,28.815905949034146,0.2739726466040244,0.6529779684045117,0.0022967388788520636
37,S7_LC_DOM_FE_W_CONS_NV,MLP,train,20.79320370862077,0.3719387529877723,29.572471592085236,0.4262831844866083,0.6181316637719447,0.017197033795859355
38,S7_LC_DOM_FE_W_CONS_NV,MLP,val,21.937155510443734,0.4350720122952148,30.419477146189763,0.3706412458178022,0.6597412942639839,0.0051059968178297326
39,S7_LC_DOM_FE_W_CONS_NV,TabTransformer,test,20.27104450279413,0.2315772195528699,28.899020493839554,0.2563879965663549,0.6596626521096071,0.005400402339937035
40,S7_LC_DOM_FE_W_CONS_NV,TabTransformer,train,21.160981916436807,0.27590417515456245,30.089645653500785,0.4003997647466904,0.6041172892512404,0.012708226722699329
41,S7_LC_DOM_FE_W_CONS_NV,TabTransformer,val,22.007822422403425,0.33415811606529094,30.625662313291812,0.48615035436793663,0.6614840332444288,0.006592113873371107
