scheme,scheme_desc,model,repeat,split,n,MAE,RMSE,R
S1_FT,FT baseline,CatBoost,1,train,38435,16.85704187285513,25.276495327524632,0.7446276893854448
S1_FT,FT baseline,CatBoost,1,val,4821,16.876439096973908,25.585085948244885,0.5500156069339871
S1_FT,FT baseline,CatBoost,1,test,3944,19.16406846073752,28.074079709709807,0.6348386747188707
S1_FT,FT baseline,LightGBM,1,train,38435,11.503443092667487,19.685727270822877,0.8576751815377242
S1_FT,FT baseline,LightGBM,1,val,4821,17.463231493016927,25.56247250667383,0.562561790454125
S1_FT,FT baseline,LightGBM,1,test,3944,20.140687993163503,28.606183859147677,0.6261097732980063
S1_FT,FT baseline,XGBoost,1,train,38435,10.006299463886661,18.008882309992096,0.887272826500569
S1_FT,FT baseline,XGBoost,1,val,4821,17.619831696621233,25.633462293287717,0.5532499398943553
S1_FT,FT baseline,XGBoost,1,test,3944,19.693098017779867,28.12630462802782,0.6337612399726241
S1_FT,FT baseline,CatBoost,2,train,38435,16.924232444059378,25.32117054476133,0.7439285766655448
S1_FT,FT baseline,CatBoost,2,val,4821,16.83413342310205,25.40802756708289,0.5574713245977094
S1_FT,FT baseline,CatBoost,2,test,3944,19.209976914445935,27.975219276556874,0.6379893670649984
S1_FT,FT baseline,LightGBM,2,train,38435,11.514988260539365,19.69750827832145,0.8574883066784742
S1_FT,FT baseline,LightGBM,2,val,4821,17.457605448172952,25.48435563736818,0.5656947292670036
S1_FT,FT baseline,LightGBM,2,test,3944,20.124203811261285,28.549657032617816,0.6262463505008393
S1_FT,FT baseline,XGBoost,2,train,38435,10.133097510545854,18.08688717162591,0.8857575515458775
S1_FT,FT baseline,XGBoost,2,val,4821,17.38580346665932,25.35622122227875,0.563528113825785
S1_FT,FT baseline,XGBoost,2,test,3944,20.17556347273451,28.36339539049786,0.6283063692628026
S1_FT,FT baseline,CatBoost,3,train,38435,17.2237768573293,25.71236330737982,0.7349161013711677
S1_FT,FT baseline,CatBoost,3,val,4821,16.818458487442854,25.470294128952805,0.5548271390414109
S1_FT,FT baseline,CatBoost,3,test,3944,19.161656603241774,28.23687256126306,0.6293234305372813
S1_FT,FT baseline,LightGBM,3,train,38435,11.577597816936425,19.742115780654476,0.8568308659003349
S1_FT,FT baseline,LightGBM,3,val,4821,17.36651278652501,25.206936014775838,0.5761794190978535
S1_FT,FT baseline,LightGBM,3,test,3944,20.11917472919742,28.416917655974466,0.6309931580719845
S1_FT,FT baseline,XGBoost,3,train,38435,10.260406573002493,18.234753916845346,0.883480199704675
S1_FT,FT baseline,XGBoost,3,val,4821,17.531705856406248,25.460241934427994,0.5602231317933157
S1_FT,FT baseline,XGBoost,3,test,3944,19.93717509545717,28.31433046077372,0.6280225788122128
S2_IGBP_DOM,dominant IGBP class,CatBoost,1,train,38435,17.283001161241202,25.78271245458334,0.7305622790894342
S2_IGBP_DOM,dominant IGBP class,CatBoost,1,val,4821,17.525840091094608,25.979599462423135,0.5347824180708546
S2_IGBP_DOM,dominant IGBP class,CatBoost,1,test,3944,19.288099278580802,27.719754136882017,0.6464683869149929
S2_IGBP_DOM,dominant IGBP class,LightGBM,1,train,38435,12.062989715601187,20.413246554815615,0.8467276895955232
S2_IGBP_DOM,dominant IGBP class,LightGBM,1,val,4821,18.5288748897504,26.544634919687077,0.5253852302859487
S2_IGBP_DOM,dominant IGBP class,LightGBM,1,test,3944,20.845305167343987,29.07337623539822,0.6073025380403747
S2_IGBP_DOM,dominant IGBP class,XGBoost,1,train,38435,10.582305034424,18.806207291504702,0.876886481913164
S2_IGBP_DOM,dominant IGBP class,XGBoost,1,val,4821,18.19330697489791,26.1120138448302,0.5336200896392435
S2_IGBP_DOM,dominant IGBP class,XGBoost,1,test,3944,20.58908881847566,28.710323767781468,0.6140642286188642
S2_IGBP_DOM,dominant IGBP class,CatBoost,2,train,38435,18.094600041766494,26.753220275592934,0.7071766993010633
S2_IGBP_DOM,dominant IGBP class,CatBoost,2,val,4821,17.418291278314037,25.856391827192006,0.5360023449278617
S2_IGBP_DOM,dominant IGBP class,CatBoost,2,test,3944,19.243811721451596,27.801632252672665,0.6440185556710013
S2_IGBP_DOM,dominant IGBP class,LightGBM,2,train,38435,11.970323472919935,20.35352346859459,0.8477938532690583
S2_IGBP_DOM,dominant IGBP class,LightGBM,2,val,4821,18.164973830886343,26.033434770103757,0.5413941389749223
S2_IGBP_DOM,dominant IGBP class,LightGBM,2,test,3944,20.55321996053324,28.88560183119299,0.6118818787283311
S2_IGBP_DOM,dominant IGBP class,XGBoost,2,train,38435,10.499173089282882,18.706315161171467,0.8783997758978142
S2_IGBP_DOM,dominant IGBP class,XGBoost,2,val,4821,18.186156926657766,26.002369872686145,0.5377629975960744
S2_IGBP_DOM,dominant IGBP class,XGBoost,2,test,3944,20.73258926922823,28.93496033981217,0.6067486249815017
S2_IGBP_DOM,dominant IGBP class,CatBoost,3,train,38435,17.766568181423523,26.368656158642544,0.7166946967894606
S2_IGBP_DOM,dominant IGBP class,CatBoost,3,val,4821,17.614529788109422,26.17230020224381,0.5235779977585445
S2_IGBP_DOM,dominant IGBP class,CatBoost,3,test,3944,19.41164645846549,27.75932147659805,0.6451385849123065
S2_IGBP_DOM,dominant IGBP class,LightGBM,3,train,38435,12.164123949673801,20.565431166429796,0.8443547888853572
S2_IGBP_DOM,dominant IGBP class,LightGBM,3,val,4821,18.127862581407484,25.913551058096164,0.5450736070930133
S2_IGBP_DOM,dominant IGBP class,LightGBM,3,test,3944,20.588036990743934,28.912758172420784,0.6117897766088568
