base_scheme,ablation,ablation_desc,model,repeat,split,n,MAE,RMSE,R
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,1,train,27802,17.518194853179033,26.056724500168368,0.7383610298900144
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,1,val,3575,20.128886069933003,28.25167396820036,0.6603349036855015
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,1,test,3290,18.09509939869453,25.63672016920385,0.7390861918258099
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,2,train,27802,16.22856478372341,24.534369478144544,0.7714580753529187
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,2,val,3575,19.962943374330344,28.07269779223918,0.6654068503830965
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,2,test,3290,17.82156353206176,25.157253646776795,0.7394679011276216
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,3,train,27802,17.086599204330135,25.531991045833774,0.7500147290636044
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,3,val,3575,20.070446241966245,28.11869490640271,0.6649782584223384
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,3,test,3290,18.100612040543066,25.512474593997457,0.7337115949944727
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,1,train,38435,18.769690295315336,27.570980011741113,0.6922431898049857
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,1,val,4821,17.562034184500014,26.17632286520429,0.5176376285265084
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,1,test,3944,18.983132656415943,27.76167987988918,0.6537643899817328
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,2,train,38435,19.516511296140624,28.47058708106456,0.6726810260879049
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,2,val,4821,17.72901909842034,26.276107053919333,0.5103916606912332
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,2,test,3944,19.446596966885846,28.281680609846806,0.6429973947176321
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,3,train,38435,17.234150300340094,25.666200879176003,0.7362682506307573
