base_scheme,ablation,ablation_desc,model,repeat,split,n,MAE,RMSE,R
S6_LC_DOM_FE_W_CONS,FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,1,train,27802,17.518194853179033,26.056724500168368,0.7383610298900144
S6_LC_DOM_FE_W_CONS,FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,1,val,3575,20.128886069933003,28.25167396820036,0.6603349036855015
S6_LC_DOM_FE_W_CONS,FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,1,test,3290,18.09509939869453,25.63672016920385,0.7390861918258099
S6_LC_DOM_FE_W_CONS,FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,2,train,27802,16.22856478372341,24.534369478144544,0.7714580753529187
S6_LC_DOM_FE_W_CONS,FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,2,val,3575,19.962943374330344,28.07269779223918,0.6654068503830965
S6_LC_DOM_FE_W_CONS,FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,2,test,3290,17.82156353206176,25.157253646776795,0.7394679011276216
S6_LC_DOM_FE_W_CONS,FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,3,train,27802,17.086599204330135,25.531991045833774,0.7500147290636044
S6_LC_DOM_FE_W_CONS,FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,3,val,3575,20.070446241966245,28.11869490640271,0.6649782584223384
S6_LC_DOM_FE_W_CONS,FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,3,test,3290,18.100612040543066,25.512474593997457,0.7337115949944727
S6_LC_DOM_FE_W_CONS,B1_NO_DOY_SIN,remove doy_sin only,CatBoost,1,train,27802,18.129666797610334,27.458608482825916,0.7081670261481665
S6_LC_DOM_FE_W_CONS,B1_NO_DOY_SIN,remove doy_sin only,CatBoost,1,val,3575,22.17391962981446,31.187065591031896,0.570894415145092
S6_LC_DOM_FE_W_CONS,B1_NO_DOY_SIN,remove doy_sin only,CatBoost,1,test,3290,20.304202321182704,28.845382595459856,0.644184261361779
S6_LC_DOM_FE_W_CONS,B1_NO_DOY_SIN,remove doy_sin only,CatBoost,2,train,27802,18.523193922285074,27.900764818801832,0.696392690998607
S6_LC_DOM_FE_W_CONS,B1_NO_DOY_SIN,remove doy_sin only,CatBoost,2,val,3575,22.185825955433025,31.12195266646627,0.574760325114223
S6_LC_DOM_FE_W_CONS,B1_NO_DOY_SIN,remove doy_sin only,CatBoost,2,test,3290,20.111116802309994,28.732377638521463,0.6536636455183366
