IGBP Land Cover,lc_dom_str,is_consistent,n,lfmc_mean,lfmc_std,split
Grasslands,GRA,True,19959,113.5990049644638,39.71886654604234,train
Woody Savannas,WSA,True,3149,119.02692900752818,31.012787725497535,train
Savannas,GRA,False,2143,111.59293202675377,32.087945585018296,train
Savannas,SAV,True,2048,101.12617119587618,31.52473880287342,train
Evergreen Needleleaf Forests,ENF,True,1170,128.24931369170315,40.189794173126906,train
Woody Savannas,GRA,False,996,112.29065835927594,33.38241915567086,train
Woody Savannas,ENF,False,979,117.09989812855635,30.896920718096933,train
Grasslands,SAV,False,896,111.34073484506037,32.68155132851554,train
Grasslands,WSA,False,855,117.88142963530794,36.50793193176175,train
Open Shrublands,OSH,True,794,91.98208211193045,24.61120510639059,train
Savannas,WSA,False,502,112.78524743833606,26.052682763856975,train
Evergreen Needleleaf Forests,WSA,False,487,108.43411653903921,32.63571984229139,train
Open Shrublands,GRA,False,443,88.7299098579934,33.41405727100558,train
Woody Savannas,SAV,False,337,116.49856577645896,24.65357671136323,train
Closed Shrublands,CSH,True,310,76.18225806451613,24.208194960858286,train
Grasslands,OSH,False,191,100.33641692804886,30.445121130087543,train
Savannas,ENF,False,185,115.11324324324325,34.80110733223601,train
Urban and Built-up Lands,GRA,False,163,102.97648261758692,48.12679459643851,train
Deciduous Broadleaf Forests,DBF,True,163,113.40695296523516,22.187906360656065,train
Urban and Built-up Lands,WSA,False,158,118.8032700421941,23.18806809498299,train
Mixed Forests,WSA,False,157,153.19426751592357,32.41531728308862,train
Woody Savannas,MF,False,156,113.4423076923077,13.659211890841592,train
Grasslands | Savannas,GRA,False,154,98.3794854424183,23.441755850485713,train
Savannas,OSH,False,140,115.44583333333333,41.94230617005354,train
Grasslands,ENF,False,137,98.26470488083942,30.60310303166297,train
Closed Shrublands,SAV,False,133,85.21528822055137,29.990358021603253,train
Closed Shrublands,GRA,False,117,74.53435410125624,21.262421096848186,train
Mixed Forests,MF,True,112,110.65416666666667,17.68379325948039,train
Mixed Forests,DBF,False,81,117.67901234567901,21.070908357551783,train
Evergreen Needleleaf Forests | Woody Savannas,ENF,False,79,153.71940928270044,34.5575879280841,train
Grasslands,CSH,False,76,73.40131578947368,21.088546612927452,train
Grasslands | Woody Savannas,WSA,False,75,119.26805291005292,31.16264811862436,train
Woody Savannas,DBF,False,74,109.9391891891892,17.020324816754428,train
Grasslands,MF,False,69,114.79710144927536,13.904696318515724,train
Evergreen Broadleaf Forests,ENF,False,69,101.42028985507247,31.604229063307184,train
Evergreen Needleleaf Forests,GRA,False,63,107.4749132868523,24.57749206236647,train
Evergreen Needleleaf Forests,MF,False,62,106.50806451612904,12.153894314669794,train
Open Shrublands,CSH,False,55,73.2090909090909,20.079861596904543,train
Savannas,DBF,False,39,108.51282051282051,13.74354631189383,train
Savannas,CSH,False,38,86.4342105263158,22.681882130623865,train
Grasslands | Woody Savannas,ENF,False,37,102.87837837837837,30.228161401940103,train
Evergreen Broadleaf Forests,SAV,False,35,129.52228360747537,34.99561203639462,train
Savannas | Woody Savannas,WSA,False,34,117.60922656948661,24.188885524717556,train
Woody Savannas,EBF,False,33,129.0909090909091,20.975228896789837,train
Woody Savannas,CRO,False,32,121.6015625,19.80293521171929,train
Evergreen Broadleaf Forests,EBF,True,30,114.02974188623419,18.877587631438395,train
Grasslands,CRO,False,28,125.25297533814096,57.34327894307359,train
Evergreen Needleleaf Forests,SAV,False,28,110.62619047619047,21.64002038052115,train
Evergreen Broadleaf Forests,WSA,False,25,129.32365681746936,32.191668719676414,train
Urban and Built-up Lands,SAV,False,24,70.33333333333333,21.542453311681804,train
Grasslands | Woody Savannas,GRA,False,20,113.15904761904763,34.11863020909276,train
Evergreen Needleleaf Forests | Woody Savannas,WSA,False,19,127.55964912280702,17.763961919569695,train
Deciduous Broadleaf Forests,CRO,False,17,102.11764705882354,13.527205702496245,train
Evergreen Needleleaf Forests,CRO,False,16,126.85416666666667,31.19951477542915,train
Open Shrublands | Woody Savannas,ENF,False,15,98.46666666666667,19.892089837300613,train
Grasslands | Savannas,SAV,False,14,101.56091638290977,9.562899947184887,train
Deciduous Broadleaf Forests,GRA,False,13,141.84615384615384,20.20742684547193,train
Croplands,CRO,True,13,111.97282224303123,35.726589560351485,train
Open Shrublands,WSA,False,13,84.63076923076923,23.694000106053032,train
Croplands,GRA,False,12,153.77083333333334,19.136343767234575,train
Deciduous Broadleaf Forests,WSA,False,12,103.75,7.27230112387844,train
Savannas | Woody Savannas,SAV,False,11,109.1060606060606,21.265814079993465,train
Permanent Wetlands,WSA,False,11,113.77272727272727,30.217018082831768,train
Closed Shrublands,WSA,False,10,85.25,17.992668259908285,train
Woody Savannas,CSH,False,9,98.01851851851852,3.9549937179017087,train
Barren,GRA,False,9,135.55555555555554,51.88100701498466,train
Open Shrublands,ENF,False,9,100.22222222222223,27.35314322787135,train
Closed Shrublands,OSH,False,9,100.29867724867725,20.99306328822047,train
Savannas | Woody Savannas,ENF,False,8,109.0,12.722308865026932,train
Savannas | Woody Savannas,GRA,False,7,120.48513935032312,31.311456297539394,train
Grasslands | Savannas,WSA,False,6,113.46518819340481,21.01556787483926,train
Evergreen Needleleaf Forests,OSH,False,5,95.63666666666667,13.101274323091209,train
Open Shrublands,SAV,False,5,133.23333333333332,77.61135369404545,train
Grasslands | Open Shrublands,CSH,False,5,68.65,10.01030718809368,train
Grasslands,EBF,False,5,147.91,119.4794145449332,train
Deciduous Broadleaf Forests | Grasslands,WSA,False,4,104.6875,10.050652963862596,train
Grasslands | Savannas | Woody Savannas,GRA,False,4,78.94877585871663,34.69157217464523,train
Croplands | Savannas,WSA,False,3,281.76,10.288732915184465,train
