block_id,_block_lat,_block_lon,split,n_window_samples,lat_min,lat_max,lon_min,lon_max,lat_center,lon_center,split_code
103_650,103,650,train,3,-38.5,-38.0,145.0,145.5,-38.25,145.25,1
103_651,103,651,train,1,-38.5,-38.0,145.5,146.0,-38.25,145.75,1
105_224,105,224,train,2,-37.5,-37.0,-68.0,-67.5,-37.25,-67.75,1
105_648,105,648,train,6,-37.5,-37.0,144.0,144.5,-37.25,144.25,1
107_225,107,225,train,3,-36.5,-36.0,-67.5,-67.0,-36.25,-67.25,1
107_226,107,226,train,3,-36.5,-36.0,-67.0,-66.5,-36.25,-66.75,1
107_227,107,227,train,9,-36.5,-36.0,-66.5,-66.0,-36.25,-66.25,1
107_653,107,653,train,4,-36.5,-36.0,146.5,147.0,-36.25,146.75,1
108_656,108,656,train,3,-36.0,-35.5,148.0,148.5,-35.75,148.25,1
108_657,108,657,train,9,-36.0,-35.5,148.5,149.0,-35.75,148.75,1
109_657,109,657,train,20,-35.5,-35.0,148.5,149.0,-35.25,148.75,1
109_658,109,658,train,19,-35.5,-35.0,149.0,149.5,-35.25,149.25,1
109_659,109,659,train,16,-35.5,-35.0,149.5,150.0,-35.25,149.75,1
112_661,112,661,train,4,-34.0,-33.5,150.5,151.0,-33.75,150.75,1
113_661,113,661,train,2,-33.5,-33.0,150.5,151.0,-33.25,150.75,1
127_603,127,603,val,1,-26.5,-26.0,121.5,122.0,-26.25,121.75,2
145_610,145,610,train,2,-17.5,-17.0,125.0,125.5,-17.25,125.25,1
148_616,148,616,train,4,-16.0,-15.5,128.0,128.5,-15.75,128.25,1
207_329,207,329,train,17,13.5,14.0,-15.5,-15.0,13.75,-15.25,1
210_330,210,330,train,16,15.0,15.5,-15.0,-14.5,15.25,-14.75,1
232_162,232,162,train,28,26.0,26.5,-99.0,-98.5,26.25,-98.75,1
235_163,235,163,train,30,27.5,28.0,-98.5,-98.0,27.75,-98.25,1
236_161,236,161,train,91,28.0,28.5,-99.5,-99.0,28.25,-99.25,1
236_163,236,163,train,26,28.0,28.5,-98.5,-98.0,28.25,-98.25,1
238_153,238,153,train,58,29.0,29.5,-103.5,-103.0,29.25,-103.25,1
239_159,239,159,train,31,29.5,30.0,-100.5,-100.0,29.75,-100.25,1
239_162,239,162,train,127,29.5,30.0,-99.0,-98.5,29.75,-98.75,1
239_163,239,163,train,73,29.5,30.0,-98.5,-98.0,29.75,-98.25,1
239_164,239,164,train,44,29.5,30.0,-98.0,-97.5,29.75,-97.75,1
239_167,239,167,train,44,29.5,30.0,-96.5,-96.0,29.75,-96.25,1
240_151,240,151,train,65,30.0,30.5,-104.5,-104.0,30.25,-104.25,1
240_153,240,153,train,50,30.0,30.5,-103.5,-103.0,30.25,-103.25,1
240_154,240,154,val,73,30.0,30.5,-103.0,-102.5,30.25,-102.75,2
240_156,240,156,train,50,30.0,30.5,-102.0,-101.5,30.25,-101.75,1
240_158,240,158,train,62,30.0,30.5,-101.0,-100.5,30.25,-100.75,1
240_160,240,160,train,94,30.0,30.5,-100.0,-99.5,30.25,-99.75,1
240_162,240,162,train,107,30.0,30.5,-99.0,-98.5,30.25,-98.75,1
240_165,240,165,train,25,30.0,30.5,-97.5,-97.0,30.25,-97.25,1
240_168,240,168,train,27,30.0,30.5,-96.0,-95.5,30.25,-95.75,1
240_169,240,169,train,5,30.0,30.5,-95.5,-95.0,30.25,-95.25,1
240_171,240,171,train,109,30.0,30.5,-94.5,-94.0,30.25,-94.25,1
241_152,241,152,train,35,30.5,31.0,-104.0,-103.5,30.75,-103.75,1
241_157,241,157,train,115,30.5,31.0,-101.5,-101.0,30.75,-101.25,1
241_161,241,161,val,79,30.5,31.0,-99.5,-99.0,30.75,-99.25,2
241_163,241,163,train,21,30.5,31.0,-98.5,-98.0,30.75,-98.25,1
241_168,241,168,train,139,30.5,31.0,-96.0,-95.5,30.75,-95.75,1
241_171,241,171,train,86,30.5,31.0,-94.5,-94.0,30.75,-94.25,1
241_172,241,172,train,185,30.5,31.0,-94.0,-93.5,30.75,-93.75,1
242_137,242,137,test,27,31.0,31.5,-111.5,-111.0,31.25,-111.25,3
242_158,242,158,train,71,31.0,31.5,-101.0,-100.5,31.25,-100.75,1
242_163,242,163,train,96,31.0,31.5,-98.5,-98.0,31.25,-98.25,1
242_165,242,165,train,45,31.0,31.5,-97.5,-97.0,31.25,-97.25,1
242_169,242,169,train,119,31.0,31.5,-95.5,-95.0,31.25,-95.25,1
242_170,242,170,train,218,31.0,31.5,-95.0,-94.5,31.25,-94.75,1
242_171,242,171,train,31,31.0,31.5,-94.5,-94.0,31.25,-94.25,1
243_155,243,155,val,7,31.5,32.0,-102.5,-102.0,31.75,-102.25,2
243_158,243,158,train,89,31.5,32.0,-101.0,-100.5,31.75,-100.75,1
243_160,243,160,train,109,31.5,32.0,-100.0,-99.5,31.75,-99.75,1
243_162,243,162,test,33,31.5,32.0,-99.0,-98.5,31.75,-98.75,3
243_164,243,164,train,43,31.5,32.0,-98.0,-97.5,31.75,-97.75,1
243_168,243,168,train,100,31.5,32.0,-96.0,-95.5,31.75,-95.75,1
244_150,244,150,train,91,32.0,32.5,-105.0,-104.5,32.25,-104.75,1
244_157,244,157,train,7,32.0,32.5,-101.5,-101.0,32.25,-101.25,1
244_159,244,159,train,78,32.0,32.5,-100.5,-100.0,32.25,-100.25,1
244_164,244,164,test,113,32.0,32.5,-98.0,-97.5,32.25,-97.75,3
244_170,244,170,train,100,32.0,32.5,-95.0,-94.5,32.25,-94.75,1
245_126,245,126,train,170,32.5,33.0,-117.0,-116.5,32.75,-116.75,1
245_127,245,127,train,51,32.5,33.0,-116.5,-116.0,32.75,-116.25,1
245_140,245,140,test,10,32.5,33.0,-110.0,-109.5,32.75,-109.75,3
245_141,245,141,train,21,32.5,33.0,-109.5,-109.0,32.75,-109.25,1
245_143,245,143,val,5,32.5,33.0,-108.5,-108.0,32.75,-108.25,2
245_148,245,148,test,14,32.5,33.0,-106.0,-105.5,32.75,-105.75,3
245_149,245,149,train,37,32.5,33.0,-105.5,-105.0,32.75,-105.25,1
245_151,245,151,train,51,32.5,33.0,-104.5,-104.0,32.75,-104.25,1
245_161,245,161,train,28,32.5,33.0,-99.5,-99.0,32.75,-99.25,1
245_162,245,162,train,107,32.5,33.0,-99.0,-98.5,32.75,-98.75,1
245_167,245,167,test,5,32.5,33.0,-96.5,-96.0,32.75,-96.25,3
245_169,245,169,train,27,32.5,33.0,-95.5,-95.0,32.75,-95.25,1
245_171,245,171,train,346,32.5,33.0,-94.5,-94.0,32.75,-94.25,1
246_125,246,125,train,66,33.0,33.5,-117.5,-117.0,33.25,-117.25,1
246_126,246,126,val,10,33.0,33.5,-117.0,-116.5,33.25,-116.75,2
246_138,246,138,test,50,33.0,33.5,-111.0,-110.5,33.25,-110.75,3
246_141,246,141,train,6,33.0,33.5,-109.5,-109.0,33.25,-109.25,1
246_157,246,157,val,35,33.0,33.5,-101.5,-101.0,33.25,-101.25,2
246_164,246,164,train,96,33.0,33.5,-98.0,-97.5,33.25,-97.75,1
247_126,247,126,val,15,33.5,34.0,-117.0,-116.5,33.75,-116.75,2
247_137,247,137,train,19,33.5,34.0,-111.5,-111.0,33.75,-111.25,1
247_138,247,138,test,10,33.5,34.0,-111.0,-110.5,33.75,-110.75,3
247_141,247,141,train,50,33.5,34.0,-109.5,-109.0,33.75,-109.25,1
247_142,247,142,train,4,33.5,34.0,-109.0,-108.5,33.75,-108.75,1
247_145,247,145,train,13,33.5,34.0,-107.5,-107.0,33.75,-107.25,1
247_147,247,147,train,16,33.5,34.0,-106.5,-106.0,33.75,-106.25,1
247_154,247,154,train,20,33.5,34.0,-103.0,-102.5,33.75,-102.75,1
247_163,247,163,train,36,33.5,34.0,-98.5,-98.0,33.75,-98.25,1
247_168,247,168,train,56,33.5,34.0,-96.0,-95.5,33.75,-95.75,1
247_169,247,169,train,1,33.5,34.0,-95.5,-95.0,33.75,-95.25,1
247_565,247,565,train,1,33.5,34.0,102.5,103.0,33.75,102.75,1
248_121,248,121,test,38,34.0,34.5,-119.5,-119.0,34.25,-119.25,3
248_122,248,122,train,257,34.0,34.5,-119.0,-118.5,34.25,-118.75,1
248_134,248,134,train,29,34.0,34.5,-113.0,-112.5,34.25,-112.75,1
248_137,248,137,train,42,34.0,34.5,-111.5,-111.0,34.25,-111.25,1
248_138,248,138,train,11,34.0,34.5,-111.0,-110.5,34.25,-110.75,1
248_143,248,143,train,9,34.0,34.5,-108.5,-108.0,34.25,-108.25,1
248_144,248,144,train,37,34.0,34.5,-108.0,-107.5,34.25,-107.75,1
248_159,248,159,train,147,34.0,34.5,-100.5,-100.0,34.25,-100.25,1
248_160,248,160,train,54,34.0,34.5,-100.0,-99.5,34.25,-99.75,1
249_121,249,121,train,124,34.5,35.0,-119.5,-119.0,34.75,-119.25,1
249_122,249,122,train,3,34.5,35.0,-119.0,-118.5,34.75,-118.75,1
249_134,249,134,train,20,34.5,35.0,-113.0,-112.5,34.75,-112.75,1
249_135,249,135,val,16,34.5,35.0,-112.5,-112.0,34.75,-112.25,2
249_136,249,136,train,14,34.5,35.0,-112.0,-111.5,34.75,-111.75,1
249_137,249,137,train,40,34.5,35.0,-111.5,-111.0,34.75,-111.25,1
249_142,249,142,val,62,34.5,35.0,-109.0,-108.5,34.75,-108.75,2
249_143,249,143,train,66,34.5,35.0,-108.5,-108.0,34.75,-108.25,1
249_147,249,147,train,35,34.5,35.0,-106.5,-106.0,34.75,-106.25,1
