iter	Passed	Remaining
0	187	562440
1	225	337560
2	263	263716
3	301	225865
4	339	203618
5	376	188011
6	419	179442
7	463	173302
8	513	170781
9	564	168666
10	623	169436
11	676	168375
12	725	166793
13	771	164624
14	819	163062
15	865	161435
16	934	164019
17	992	164416
18	1044	163919
19	1093	162976
20	1143	162240
21	1190	161183
22	1251	161981
23	1301	161372
24	1350	160740
25	1399	160112
26	1447	159338
27	1495	158703
28	1557	159563
29	1610	159421
30	1659	158950
31	1708	158504
32	1759	158197
33	1810	157912
34	1869	158380
35	1927	158700
36	1977	158340
37	2023	157692
38	2075	157555
39	2126	157355
40	2183	157613
41	2243	158005
42	2293	157712
43	2338	157095
44	2386	156694
45	2432	156211
46	2476	155620
47	2515	154688
48	2555	153910
49	2593	153007
50	2632	152218
51	2669	151323
52	2709	150674
53	2747	149895
54	2786	149187
55	2822	148398
56	2861	147758
57	2901	147177
58	2954	147255
59	3009	147442
60	3058	147351
61	3104	147111
62	3151	146912
63	3200	146822
64	3253	146912
65	3310	147153
66	3360	147111
67	3406	146883
68	3455	146801
69	3511	146985
70	3561	146922
71	3620	147242
72	3675	147383
73	3724	147257
74	3773	147182
75	3822	147063
76	3872	146996
77	3929	147205
78	3979	147156
79	4027	147011
80	4076	146898
81	4127	146882
82	4181	146940
83	4227	146770
84	4288	147081
85	4344	147199
86	4395	147161
87	4443	147028
88	4496	147066
89	4546	147004
90	4606	147256
91	4652	147062
92	4700	146936
93	4745	146695
94	4796	146669
95	4842	146489
96	4918	147214
97	4961	146914
98	5001	146570
99	5039	146153
100	5080	145811
101	5119	145459
102	5160	145138
103	5198	144748
104	5237	144405
105	5275	144043
106	5316	143740
107	5351	143311
108	5388	142924
109	5434	142780
110	5488	142839
111	5536	142749
112	5585	142704
113	5636	142701
114	5706	143166
115	5753	143038
116	5803	143005
117	5853	142956
118	5902	142899
119	5950	142816
120	6003	142837
121	6060	142958
122	6113	142984
123	6164	142973
124	6215	142961
125	6267	142964
126	6325	143090
127	6377	143103
128	6426	143032
129	6474	142936
130	6527	142963
131	6578	142937
132	6626	142852
133	6686	143010
134	6735	142950
135	6785	142888
136	6832	142789
137	6880	142696
138	6930	142640
139	6988	142755
140	7038	142715
141	7083	142570
142	7132	142496
143	7182	142458
144	7232	142395
145	7250	141740
146	7315	141983
147	7358	141808
148	7408	141747
149	7437	141320
150	7482	141183
151	7522	140943
152	7561	140699
153	7598	140420
154	7638	140200
155	7676	139944
156	7715	139714
157	7752	139440
158	7789	139188
159	7827	138931
160	7865	138702
161	7908	138539
162	7955	138456
163	7999	138325
164	8046	138256
165	8107	138414
166	8159	138426
167	8208	138372
168	8260	138380
169	8308	138314
170	8359	138295
171	8405	138200
172	8466	138347
173	8522	138415
174	8571	138366
175	8617	138275
176	8664	138189
177	8708	138067
178	8762	138091
179	8819	138172
180	8867	138112
181	8917	138076
182	8966	138023
183	9013	137943
184	9061	137889
185	9112	137865
186	9172	137985
187	9223	137961
188	9275	137951
189	9331	138001
190	9380	137950
191	9429	137905
192	9492	138053
193	9539	137971
194	9587	137914
195	9637	137878
196	9686	137825
197	9733	137747
198	9795	137876
199	9842	137798
200	9893	137764
201	9934	137610
202	9974	137431
203	10010	137199
204	10050	137032
205	10086	136805
206	10125	136618
207	10165	136447
208	10206	136299
209	10243	136086
210	10282	135915
211	10320	135730
212	10361	135569
213	10412	135561
214	10473	135673
215	10521	135609
216	10571	135573
217	10630	135660
218	10654	135298
219	10701	135227
220	10749	135177
221	10797	135115
222	10843	135034
223	10899	135071
224	10955	135112
225	11004	135075
226	11056	135067
227	11109	135065
228	11158	135021
229	11204	134945
230	11262	134999
231	11311	134953
232	11358	134883
233	11409	134866
234	11464	134886
235	11512	134833
236	11567	134860
237	11621	134867
238	11675	134873
239	11720	134785
240	11771	134757
241	11794	134421
242	11844	134380
243	11901	134424
244	11956	134445
245	12002	134372
246	12050	134311
247	12097	134241
248	12150	134237
249	12210	134311
250	12265	134331
251	12311	134259
252	12363	134242
253	12409	134161
254	12459	134126
255	12498	133972
256	12540	133841
257	12579	133690
258	12621	133575
259	12658	133404
260	12697	133252
261	12735	133086
262	12773	132930
263	12810	132761
264	12849	132613
265	12891	132497
266	12938	132441
267	12992	132446
268	13048	132476
269	13095	132414
270	13146	132385
271	13193	132321
272	13242	132280
273	13306	132389
274	13356	132353
275	13403	132281
276	13454	132263
277	13503	132216
278	13553	132182
279	13599	132107
280	13661	132189
281	13710	132147
282	13764	132145
283	13813	132103
284	13862	132057
285	13911	132013
286	13971	132069
287	14024	132063
288	14071	131996
289	14119	131948
290	14168	131900
291	14216	131840
292	14266	131804
293	14326	131859
294	14382	131884
295	14436	131881
296	14502	131990
297	14543	131868
298	14598	131877
299	14650	131852
300	14701	131826
301	14751	131785
302	14799	131733
303	14847	131678
304	14898	131644
305	14953	131652
306	14997	131557
307	15034	131408
308	15076	131293
309	15111	131132
310	15152	131011
311	15190	130871
312	15228	130734
313	15267	130599
314	15307	130474
315	15343	130322
316	15384	130207
317	15433	130166
318	15487	130161
319	15535	130113
320	15584	130066
321	15637	130052
322	15695	130080
323	15745	130043
324	15794	129997
325	15842	129944
326	15890	129894
327	15937	129833
328	16002	129917
329	16047	129835
330	16105	129869
331	16153	129808
332	16199	129745
333	16255	129755
334	16313	129775
